Region,Happiness Rank,Happiness Score,int_score
Western Europe,1,7.526,8.0
Western Europe,2,7.5089999999999995,8.0
Western Europe,3,7.501,8.0
Western Europe,4,7.497999999999999,7.0
Western Europe,5,7.412999999999999,7.0
North America,6,7.404,7.0
Western Europe,7,7.3389999999999995,7.0
Australia and New Zealand,8,7.334,7.0
Australia and New Zealand,9,7.313,7.0
Western Europe,10,7.291,7.0
Middle East and Northern Africa,11,7.267,7.0
Western Europe,12,7.119,7.0
North America,13,7.104,7.0
Latin America and Caribbean,14,7.087000000000001,7.0
Latin America and Caribbean,15,7.039,7.0
Western Europe,16,6.994,7.0
Latin America and Caribbean,17,6.952000000000001,7.0
Western Europe,18,6.928999999999999,7.0
Western Europe,19,6.907,7.0
Western Europe,20,6.871,7.0
Latin America and Caribbean,21,6.778,7.0
Southeastern Asia,22,6.739,7.0
Western Europe,23,6.725,7.0
Latin America and Caribbean,24,6.705,7.0
Latin America and Caribbean,25,6.7010000000000005,7.0
Latin America and Caribbean,26,6.65,7.0
Central and Eastern Europe,27,6.596,7.0
Middle East and Northern Africa,28,6.5729999999999995,7.0
Latin America and Caribbean,29,6.545,7.0
Western Europe,30,6.4879999999999995,6.0
Latin America and Caribbean,31,6.481,6.0
Western Europe,32,6.478,6.0
Southeastern Asia,33,6.474,6.0
Middle East and Northern Africa,34,6.379,6.0
Eastern Asia,34,6.379,6.0
Middle East and Northern Africa,36,6.375,6.0
Western Europe,37,6.361000000000001,6.0
Middle East and Northern Africa,38,6.355,6.0
Latin America and Caribbean,39,6.324,6.0
Latin America and Caribbean,40,6.269,6.0
Middle East and Northern Africa,41,6.239,6.0
Middle East and Northern Africa,42,6.218,6.0
Latin America and Caribbean,43,6.167999999999999,6.0
Latin America and Caribbean,44,6.084,6.0
Central and Eastern Europe,45,6.077999999999999,6.0
Latin America and Caribbean,46,6.068,6.0
Southeastern Asia,47,6.005,6.0
Latin America and Caribbean,48,5.992000000000001,6.0
Central and Eastern Europe,49,5.987,6.0
Western Europe,50,5.977,6.0
Latin America and Caribbean,51,5.976,6.0
Latin America and Caribbean,52,5.956,6.0
Eastern Asia,53,5.921,6.0
Central and Eastern Europe,54,5.919,6.0
Central and Eastern Europe,55,5.897,6.0
Central and Eastern Europe,56,5.856,6.0
Central and Eastern Europe,57,5.835,6.0
Eastern Asia,57,5.835,6.0
Latin America and Caribbean,59,5.822,6.0
Central and Eastern Europe,60,5.813,6.0
Central and Eastern Europe,61,5.8020000000000005,6.0
Western Europe,62,5.771,6.0
Central and Eastern Europe,63,5.768,6.0
Latin America and Caribbean,64,5.742999999999999,6.0
Central and Eastern Europe,65,5.6579999999999995,6.0
Sub-Saharan Africa,66,5.648,6.0
Middle East and Northern Africa,67,5.615,6.0
Central and Eastern Europe,68,5.56,6.0
Western Europe,69,5.546,6.0
Latin America and Caribbean,70,5.537999999999999,6.0
Central and Eastern Europe,71,5.528,6.0
Central and Eastern Europe,72,5.517,6.0
Latin America and Caribbean,73,5.51,6.0
Central and Eastern Europe,74,5.4879999999999995,5.0
Eastern Asia,75,5.457999999999999,5.0
Sub-Saharan Africa,76,5.44,5.0
Central and Eastern Europe,77,5.401,5.0
